b/y Value	Cost
1.4623		8951.0733
1.4624		8951.2351
1.4625		8951.3969
1.4626		8951.5587
1.4627		8951.7205
1.4628		8951.8823
1.4629		8952.0441
1.463		8952.2059
1.4631		8952.3677
1.4632		8952.5295
1.4633		8952.6913
1.4634		8952.8531
1.4635		8953.0149
1.4636		8953.1768
1.4637		8953.3386
1.4638		8953.5004
1.4639		8953.6622
1.464		8953.824
1.4641		8953.9858
1.4642		8954.1476
1.4643		8954.3094
1.4644		8954.4712
1.4645		8954.633
1.4646		8954.7948
1.4647		8954.9566
1.4648		8955.1184
1.4649		8955.2802
1.465		8955.442
1.4651		8955.6038
1.4652		8955.7656
1.4653		8955.9274
1.4654		8956.0892
1.4655		8956.251
1.4656		8956.4128
1.4657		8956.5746
1.4658		8956.7364
1.4659		8956.8982
1.466		8957.06
1.4661		8957.2218
1.4662		8957.3837
1.4663		8957.5455
1.4664		8957.7073
1.4665		8957.8691
1.4666		8958.0309
1.4667		8958.1927
1.4668		8958.3545
1.4669		8958.5163
1.467		8958.6781
1.4671		8958.8803
1.4672		8959.0421
1.4673		8959.2039
1.4674		8959.3657
1.4675		8959.5276
1.4676		8959.6894
1.4677		8959.8512
1.4678		8960.013
1.4679		8960.1748
1.468		8960.3366
1.4681		8960.4984
1.4682		8960.6602
1.4683		8960.822
1.4684		8960.9838
1.4685		8961.1456
1.4686		8961.3074
1.4687		8961.4692
1.4688		8961.631
1.4689		8961.7928
1.469		8961.9546
1.4691		8962.1164
1.4692		8962.2782
1.4693		8962.44
1.4694		8962.6018
1.4695		8962.7636
1.4696		8962.9254
1.4697		8963.0872
1.4698		8963.249
1.4699		8963.4108
1.47		8963.5726
1.4701		8963.7345
1.4702		8963.8963
1.4703		8964.0581
1.4704		8964.2199
1.4705		8964.3817
1.4706		8964.5435
1.4707		8964.7053
1.4708		8964.8671
1.4709		8965.0289
1.471		8965.1907
1.4711		8965.3525
1.4712		8965.5143
1.4713		8965.6761
1.4714		8965.8379
1.4715		8965.9997
1.4716		8966.1615
1.4717		8966.3233
1.4718		8966.4851
1.4719		8966.6469
1.472		8966.8087
1.4721		8966.9705
1.4722		8967.1323
1.4723		8967.2941
1.4724		8967.4559
1.4725		8967.6177
1.4726		8967.7795
1.4727		8967.9414
1.4728		8968.1032
1.4729		8968.265
1.473		8968.4268
1.4731		8968.5886
1.4732		8968.7504
1.4733		8968.9122
1.4734		8969.074
1.4735		8969.2358
1.4736		8969.3976
1.4737		8969.5594
1.4738		8969.7212
1.4739		8969.883
1.474		8970.0448
1.4741		8970.2066
1.4742		8970.3684
1.4743		8970.5302
1.4744		8970.692
1.4745		8970.8538
1.4746		8971.0156
1.4747		8971.1774
1.4748		8971.3392
1.4749		8971.501
1.475		8971.6628
1.4751		8971.8246
1.4752		8971.9864
1.4753		8972.1483
1.4754		8972.3101
1.4755		8972.4719
1.4756		8972.6337
1.4757		8972.7955
1.4758		8972.9573
1.4759		8973.1191
1.476		8973.2809
1.4761		8973.4427
1.4762		8973.6045
1.4763		8973.7663
1.4764		8973.9281
1.4765		8974.0899
1.4766		8974.2517
1.4767		8974.4135
1.4768		8974.5753
1.4769		8974.7371
1.477		8974.8989
1.4771		8975.0607
1.4772		8975.2225
1.4773		8975.3843
1.4774		8975.5461
1.4775		8975.7079
1.4776		8975.8697
1.4777		8976.0315
1.4778		8976.1933
1.4779		8976.3552
1.478		8976.517
1.4781		8976.7192
1.4782		8976.881
1.4783		8977.0428
1.4784		8977.2046
1.4785		8977.3664
1.4786		8977.5282
1.4787		8977.69
1.4788		8977.8518
1.4789		8978.0136
1.479		8978.1754
1.4791		8978.3372
1.4792		8978.4991
1.4793		8978.6609
1.4794		8978.8227
1.4795		8978.9845
1.4796		8979.1463
1.4797		8979.3081
1.4798		8979.4699
1.4799		8979.6317
1.48		8979.7935
1.4801		8979.9553
1.4802		8980.1171
1.4803		8980.2789
1.4804		8980.4407
1.4805		8980.6025
1.4806		8980.7643
1.4807		8980.9261
1.4808		8981.0879
1.4809		8981.2497
1.481		8981.4115
1.4811		8981.5733
1.4812		8981.7351
1.4813		8981.8969
1.4814		8982.0587
1.4815		8982.2205
1.4816		8982.3823
1.4817		8982.5441
1.4818		8982.706
1.4819		8982.8678
1.482		8983.0296
1.4821		8983.1914
1.4822		8983.3532
1.4823		8983.515
1.4824		8983.6768
1.4825		8983.8386
1.4826		8984.0004
1.4827		8984.1622
1.4828		8984.324
1.4829		8984.4858
1.483		8984.6476
1.4831		8984.8094
1.4832		8984.9712
1.4833		8985.133
1.4834		8985.2948
1.4835		8985.4566
1.4836		8985.6184
1.4837		8985.7802
1.4838		8985.942
1.4839		8986.1038
1.484		8986.2656
1.4841		8986.4274
1.4842		8986.5892
1.4843		8986.751
1.4844		8986.9129
1.4845		8987.0747
1.4846		8987.2365
1.4847		8987.3983
1.4848		8987.5601
1.4849		8987.7219
1.485		8987.8837
1.4851		8988.0455
1.4852		8988.2073
1.4853		8988.3691
1.4854		8988.5309
1.4855		8988.6927
1.4856		8988.8545
1.4857		8989.0163
1.4858		8989.1781
1.4859		8989.3399
1.486		8989.5017
1.4861		8989.6635
1.4862		8989.8253
1.4863		8989.9871
1.4864		8990.1489
1.4865		8990.3107
1.4866		8990.4725
1.4867		8990.6343
1.4868		8990.7961
1.4869		8990.9579
1.487		8991.1198
1.4871		8991.2816
1.4872		8991.4434
1.4873		8991.6052
1.4874		8991.767
1.4875		8991.9288
1.4876		8992.0906
1.4877		8992.2524
1.4878		8992.4142
1.4879		8992.576
1.488		8992.7378
1.4881		8992.8996
1.4882		8993.0614
1.4883		8993.2232
1.4884		8993.385
1.4885		8993.5468
1.4886		8993.7086
1.4887		8993.8704
1.4888		8994.0322
1.4889		8994.194
1.489		8994.3558
1.4891		8994.5581
1.4892		8994.7199
1.4893		8994.8817
1.4894		8995.0435
1.4895		8995.2053
1.4896		8995.3671
1.4897		8995.5289
1.4898		8995.6907
1.4899		8995.8525
1.49		8996.0143
1.4901		8996.1761
1.4902		8996.3379
1.4903		8996.4997
1.4904		8996.6615
1.4905		8996.8233
1.4906		8996.9851
1.4907		8997.1469
1.4908		8997.3087
1.4909		8997.4706
1.491		8997.6324
1.4911		8997.7942
1.4912		8997.956
1.4913		8998.1178
1.4914		8998.2796
1.4915		8998.4414
1.4916		8998.6032
1.4917		8998.765
1.4918		8998.9268
1.4919		8999.0886
1.492		8999.2504
1.4921		8999.4122
1.4922		8999.574
1.4923		8999.7358
1.4924		8999.8976
1.4925		9000.0594
1.4926		9000.2212
1.4927		9000.383
1.4928		9000.5448
1.4929		9000.7066
1.493		9000.8684
1.4931		9001.0302
1.4932		9001.192
1.4933		9001.3538
1.4934		9001.5156
1.4935		9001.6775
1.4936		9001.8393
1.4937		9002.0011
1.4938		9002.1629
1.4939		9002.3247
1.494		9002.4865
1.4941		9002.6483
1.4942		9002.8101
1.4943		9002.9719
1.4944		9003.1337
1.4945		9003.2955
1.4946		9003.4573
1.4947		9003.6191
1.4948		9003.7809
1.4949		9003.9427
1.495		9004.1045
1.4951		9004.2663
1.4952		9004.4281
1.4953		9004.5899
1.4954		9004.7517
1.4955		9004.9135
1.4956		9005.0753
1.4957		9005.2371
1.4958		9005.3989
1.4959		9005.5607
1.496		9005.7225
1.4961		9005.8844
1.4962		9006.0462
1.4963		9006.208
1.4964		9006.3698
1.4965		9006.5316
1.4966		9006.6934
1.4967		9006.8552
1.4968		9007.017
1.4969		9007.1788
1.497		9007.3406
1.4971		9007.5024
1.4972		9007.6642
1.4973		9007.826
1.4974		9007.9878
1.4975		9008.1496
1.4976		9008.3114
1.4977		9008.4732
1.4978		9008.635
1.4979		9008.7968
1.498		9008.9
